题目来源,题目类型,题目网址,代码编号,错误大类,错误行数,错误代码,错误标注
A,,,17448864,WA,,,
,,,17448852,WA,,,
,,,17448840,WA,,,
,,,16988875,WA,,,
,,,16988811,WA,,,
,,,16988759,WA,,,
,,,16988755,WA,,,
,,,16988735,WA,,,
,,,16988731,WA,,,
,,,16482204,WA,,,
,,,16482149,WA,,,
,,,16482144,WA,,,
,,,16482132,WA,,,
,,,16482120,WA,,,
,,,16482117,WA,,,
,,,16482097,WA,,,
,,,16482093,WA,,,
,,,16482067,WA,,,
,,,16482008,WA,,,
,,,16481991,WA,,,
A,,,16481970,WA,,,
,,,16481966,WA,,,
,,,16481964,WA,,,
,,,16481952,WA,,,
,,,16481951,WA,,,
,,,16481936,WA,,,
,,,16481930,WA,,,
,,,16481926,WA,,,
,,,16481920,WA,,,
,,,16481916,WA,,,
,,,16481915,WA,,,
,,,16481905,WA,,,
,,,16481889,WA,,,
,,,16481846,WA,,,
,,,16481820,WA,,,
,,,16481809,WA,,,
,,,16481746,WA,,,
,,,16480422,WA,,,
,,,16480413,WA,,,
,,,16480408,WA,,,
A,,,16480400,WA,,,
,,,16480336,WA,,,
,,,16480318,WA,,,
,,,16480265,WA,,,
,,,16480166,WA,,,
,,,16480125,WA,,,
,,,16480023,WA,,,
,,,16479968,WA,,,
,,,16479943,WA,,,
,,,16479936,WA,,,
,,,16479924,WA,,,
,,,16479901,WA,,,
,,,16479894,WA,,,
,,,16479873,WA,,,
,,,16479843,WA,,,
,,,16479764,WA,,,
,,,16479752,WA,,,
,,,16479746,WA,,,
,,,16479699,WA,,,
,,,16479675,WA,,,
A,,,16479672,WA,,,
,,,16479661,WA,,,
,,,16479650,WA,,,
,,,16479648,WA,,,
,,,16479645,WA,,,
,,,16479639,WA,,,
,,,16479624,WA,,,
,,,16479622,WA,,,
,,,16479619,WA,,,
,,,16479618,WA,,,
,,,16479612,WA,,,
,,,16479603,WA,,,
,,,16479602,WA,,,
,,,16479595,WA,,,
,,,16479581,WA,,,
,,,16479570,WA,,,
,,,16479557,WA,,,
,,,16479549,WA,,,
,,,16479538,WA,,,
,,,16479508,WA,,,
A,,,16479477,WA,,,
,,,16479469,WA,,,
,,,16479464,WA,,,
,,,16479432,WA,,,
,,,16479429,WA,,,
,,,16479422,WA,,,
,,,16479421,WA,,,
,,,16479406,WA,,,
,,,16443836,WA,,,
,,,16443820,WA,,,
,,,16443798,WA,,,
,,,16442993,WA,,,
,,,16442920,WA,,,
,,,16442908,WA,,,
,,,16442882,WA,,,
,,,16442817,WA,,,
,,,16442797,WA,,,
,,,16442767,WA,,,
,,,16442755,WA,,,
,,,16442754,WA,,,
A,,,16442753,WA,,,
,,,16442748,WA,,,
,,,16442700,WA,,,
,,,16442681,WA,,,
,,,16442671,WA,,,
,,,16442666,WA,,,
,,,16442662,WA,,,
,,,16442643,WA,,,
,,,16442641,WA,,,
,,,16442635,WA,,,
,,,16442631,WA,,,
,,,16442627,WA,,,
,,,16442618,WA,,,
,,,16442605,WA,,,
,,,16442598,WA,,,
,,,16442595,WA,,,
,,,16442585,WA,,,
,,,16442568,WA,,,
,,,16442567,WA,,,
,,,16442556,WA,,,
A,,,16442555,WA,,,
,,,16442551,WA,,,
,,,16442542,WA,,,
,,,16442540,WA,,,
,,,16439020,WA,,,
,,,16438971,WA,,,
,,,16434101,WA,,,
,,,16417876,WA,,,
,,,16417826,WA,,,
,,,16410099,WA,,,
,,,16408450,WA,,,
,,,16408348,WA,,,
,,,16408294,WA,,,
,,,16408104,WA,,,
,,,16406112,WA,,,
,,,16403419,WA,,,
,,,16403367,WA,,,
,,,16393912,WA,,,
,,,16393723,WA,,,
,,,16393670,WA,,,
A,,,16393583,WA,,,
,,,16393549,WA,,,
,,,16393542,WA,,,
,,,16393488,WA,,,
,,,16393431,WA,,,
,,,16393374,WA,,,
,,,16393369,WA,,,
,,,16393367,WA,,,
,,,16393352,WA,,,
,,,16393343,WA,,,
,,,16393338,WA,,,
,,,16393279,WA,,,
,,,16393222,WA,,,
,,,16393206,WA,,,
,,,16393100,WA,,,
,,,16393090,WA,,,
,,,16393074,WA,,,
,,,16393057,WA,,,
,,,16392991,WA,,,
,,,16392975,WA,,,
A,,,16392964,WA,,,
,,,16392949,WA,,,
,,,16392942,WA,,,
,,,16392898,WA,,,
,,,16392861,WA,,,
,,,16392852,WA,,,
,,,16392849,WA,,,
,,,16392839,WA,,,
,,,16392801,WA,,,
,,,16392729,WA,,,
,,,16392668,WA,,,
,,,16392662,WA,,,
,,,16392613,WA,,,
,,,16392583,WA,,,
,,,16392567,WA,,,
,,,16392472,WA,,,
,,,16392447,WA,,,
,,,16392429,WA,,,
,,,16392368,WA,,,
,,,16392285,WA,,,
A,,,16392234,WA,,,
,,,16392223,WA,,,
,,,16392160,WA,,,
,,,16392118,WA,,,
,,,16392117,WA,,,
,,,16392074,WA,,,
,,,16392065,WA,,,
,,,16392058,WA,,,
,,,16392035,WA,,,
,,,16392017,WA,,,
,,,16391983,WA,,,
,,,16391912,WA,,,
,,,16391888,WA,,,
,,,16391859,WA,,,
,,,16391749,WA,,,
,,,16391741,WA,,,
,,,16391690,WA,,,
,,,16391517,WA,,,
,,,16391489,WA,,,
,,,16391480,WA,,,
A,,,16391478,WA,,,
,,,16391452,WA,,,
,,,16391447,WA,,,
,,,16391401,WA,,,
,,,16391377,WA,,,
,,,16391375,WA,,,
,,,16391349,WA,,,
,,,16391314,WA,,,
,,,16391303,WA,,,
,,,16391291,WA,,,
,,,16391252,WA,,,
,,,16391250,WA,,,
,,,16391249,WA,,,
,,,16391232,WA,,,
,,,16391229,WA,,,
,,,16391226,WA,,,
,,,16391212,WA,,,
,,,16391117,WA,,,
,,,16391083,WA,,,
,,,16391070,WA,,,
A,,,16391039,WA,,,
,,,16391036,WA,,,
,,,16391032,WA,,,
,,,16390993,WA,,,
,,,16390983,WA,,,
,,,16390973,WA,,,
,,,16390954,WA,,,
,,,16390945,WA,,,
,,,16390918,WA,,,
,,,16390868,WA,,,
,,,16390862,WA,,,
,,,16390831,WA,,,
,,,16390824,WA,,,
,,,16390816,WA,,,
,,,16390810,WA,,,
,,,16390797,WA,,,
,,,16390765,WA,,,
,,,16390758,WA,,,
,,,16390752,WA,,,
,,,16390739,WA,,,
A,,,16390727,WA,,,
,,,16390716,WA,,,
,,,16390659,WA,,,
,,,16390636,WA,,,
,,,16390620,WA,,,
,,,16390619,WA,,,
,,,16390618,WA,,,
,,,16390593,WA,,,
,,,16390557,WA,,,
,,,16390554,WA,,,
,,,16390546,WA,,,
,,,16390530,WA,,,
,,,16390526,WA,,,
,,,16390523,WA,,,
,,,16390519,WA,,,
,,,16390514,WA,,,
,,,16390508,WA,,,
,,,16390500,WA,,,
,,,16390496,WA,,,
,,,16390490,WA,,,
A,,,16390488,WA,,,
,,,16390472,WA,,,
,,,16390467,WA,,,
,,,16390458,WA,,,
,,,16390453,WA,,,
,,,16390446,WA,,,
,,,16390433,WA,,,
,,,16390426,WA,,,
,,,16390420,WA,,,
,,,16390404,WA,,,
,,,16390382,WA,,,
,,,16390371,WA,,,
,,,16390363,WA,,,
,,,16390359,WA,,,
,,,16390354,WA,,,
,,,16390351,WA,,,
,,,16390335,WA,,,
,,,16390330,WA,,,
,,,16390328,WA,,,
,,,16390322,WA,,,
A,,,16390308,WA,,,
,,,16390303,WA,,,
,,,16390296,WA,,,
,,,16390294,WA,,,
,,,16390290,WA,,,
,,,16390283,WA,,,
,,,16390282,WA,,,
,,,16390281,WA,,,
,,,16390277,WA,,,
,,,16390274,WA,,,
,,,16390272,WA,,,
,,,16390271,WA,,,
,,,16390260,WA,,,
,,,16390255,WA,,,
,,,16390253,WA,,,
,,,16390250,WA,,,
,,,16390248,WA,,,
,,,16390241,WA,,,
,,,16390236,WA,,,
,,,16390233,WA,,,
A,,,16390230,WA,,,
,,,16390212,WA,,,
,,,16390187,WA,,,
,,,16390180,WA,,,
,,,16390174,WA,,,
,,,16390167,WA,,,
,,,16390163,WA,,,
,,,16390160,WA,,,
,,,16390154,WA,,,
,,,16390151,WA,,,
,,,16390135,WA,,,
,,,16390132,WA,,,
,,,16390129,WA,,,
,,,16390126,WA,,,
,,,16390123,WA,,,
,,,16390119,WA,,,
,,,16390103,WA,,,
,,,16390100,WA,,,
,,,16390099,WA,,,
,,,16390094,WA,,,
A,,,16390091,WA,,,
,,,16390085,WA,,,
,,,16390078,WA,,,
,,,16390075,WA,,,
,,,16390068,WA,,,
,,,16390054,WA,,,
,,,16390045,WA,,,
,,,16390035,WA,,,
,,,16390026,WA,,,
,,,16390023,WA,,,
,,,16390012,WA,,,
,,,16390008,WA,,,
,,,16389991,WA,,,
,,,16389974,WA,,,
,,,16389962,WA,,,
,,,16389956,WA,,,
,,,16389949,WA,,,
,,,16389946,WA,,,
,,,16389944,WA,,,
,,,16389935,WA,,,
A,,,16389930,WA,,,
,,,16389925,WA,,,
,,,16389924,WA,,,
,,,16389919,WA,,,
,,,16389912,WA,,,
B,,,16482811,WA,,,
,,,16482797,WA,,,
,,,16480511,WA,,,
,,,16480196,WA,,,
,,,16480164,WA,,,
,,,16480101,WA,,,
,,,16442942,WA,,,
,,,16442864,WA,,,
,,,16442776,WA,,,
,,,16394262,WA,,,
,,,16394055,WA,,,
,,,16394049,WA,,,
,,,16393244,WA,,,
,,,16392616,WA,,,
,,,16391266,WA,,,
,,,16391021,WA,,,
,,,16390854,WA,,,
,,,16390753,WA,,,
,,,16390571,WA,,,
,,,16390476,WA,,,
B,,,16390383,WA,,,
,,,16390146,WA,,,
C,,,16480486,WA,,,
,,,16480464,WA,,,
,,,16480416,WA,,,
,,,16480348,WA,,,
,,,16480330,WA,,,
,,,16480316,WA,,,
,,,16480244,WA,,,
,,,16480239,WA,,,
,,,16480225,WA,,,
,,,16480149,WA,,,
,,,16480141,WA,,,
,,,16480127,WA,,,
,,,16480121,WA,,,
,,,16480106,WA,,,
,,,16480058,WA,,,
,,,16480036,WA,,,
,,,16480004,WA,,,
,,,16479980,WA,,,
,,,16479976,WA,,,
,,,16479972,WA,,,
C,,,16479945,WA,,,
,,,16479923,WA,,,
,,,16469262,WA,,,
,,,16447800,WA,,,
,,,16444149,WA,,,
,,,16443175,WA,,,
,,,16443090,WA,,,
,,,16442965,WA,,,
,,,16442915,WA,,,
,,,16442874,WA,,,
,,,16442178,WA,,,
,,,16440957,WA,,,
,,,16439328,WA,,,
,,,16409495,WA,,,
,,,16408953,WA,,,
,,,16408615,WA,,,
,,,16408573,WA,,,
,,,16404070,WA,,,
,,,16403727,WA,,,
,,,16395253,WA,,,
C,,,16395191,WA,,,
,,,16393663,WA,,,
,,,16393619,WA,,,
,,,16393544,WA,,,
,,,16393448,WA,,,
,,,16393413,WA,,,
,,,16393361,WA,,,
,,,16393304,WA,,,
,,,16393282,WA,,,
,,,16393198,WA,,,
,,,16393168,WA,,,
,,,16393163,WA,,,
,,,16393124,WA,,,
,,,16393115,WA,,,
,,,16393102,WA,,,
,,,16393044,WA,,,
,,,16393028,WA,,,
,,,16392945,WA,,,
,,,16392927,WA,,,
,,,16392880,WA,,,
C,,,16392759,WA,,,
,,,16392693,WA,,,
,,,16392595,WA,,,
,,,16392407,WA,,,
,,,16392313,WA,,,
,,,16392309,WA,,,
,,,16392276,WA,,,
,,,16392267,WA,,,
,,,16392239,WA,,,
,,,16392193,WA,,,
,,,16392145,WA,,,
,,,16391642,WA,,,
,,,16391486,WA,,,
,,,16391479,WA,,,
,,,16391445,WA,,,
,,,16391409,WA,,,
,,,16391408,WA,,,
,,,16391374,WA,,,
,,,16391002,WA,,,
,,,16390984,WA,,,
C,,,16390977,WA,,,
,,,16390965,WA,,,
,,,16390931,WA,,,
,,,16390929,WA,,,
,,,16390910,WA,,,
,,,16390898,WA,,,
,,,16390870,WA,,,
,,,16390865,WA,,,
,,,16390830,WA,,,
,,,16390818,WA,,,
,,,16390783,WA,,,
,,,16390776,WA,,,
,,,16390773,WA,,,
,,,16390744,WA,,,
,,,16390698,WA,,,
,,,16390682,WA,,,
,,,16390675,WA,,,
,,,16390652,WA,,,
,,,16390631,WA,,,
,,,16390623,WA,,,
C,,,16390580,WA,,,
,,,16390573,WA,,,
,,,16390544,WA,,,
,,,16390456,WA,,,
,,,16390436,WA,,,
,,,16390349,WA,,,
,,,16390310,WA,,,
,,,16390140,WA,,,
D,,,16443314,WA,,,
,,,16439262,WA,,,
,,,16403395,WA,,,
,,,16393744,WA,,,
,,,16393713,WA,,,
,,,16393447,WA,,,
,,,16393394,WA,,,
,,,16393239,WA,,,
,,,16393132,WA,,,
,,,16393103,WA,,,
,,,16392937,WA,,,
,,,16392753,WA,,,
,,,16392628,WA,,,
,,,16392543,WA,,,
,,,16392413,WA,,,
,,,16392376,WA,,,
,,,16392328,WA,,,
,,,16392082,WA,,,
,,,16392015,WA,,,
,,,16391864,WA,,,
D,,,16391766,WA,,,
,,,16391634,WA,,,
,,,16391222,WA,,,
,,,16391220,WA,,,
,,,16391199,WA,,,
,,,16391172,WA,,,
,,,16391149,WA,,,
,,,16390920,WA,,,
,,,16390873,WA,,,
,,,16390418,WA,,,
E,,,17450660,WA,,,
,,,17450653,WA,,,
,,,17450080,WA,,,
,,,17450058,WA,,,
,,,17449952,WA,,,
,,,17449938,WA,,,
,,,17449888,WA,,,
,,,17449783,WA,,,
,,,17449772,WA,,,
,,,17449650,WA,,,
,,,17449616,WA,,,
,,,17449596,WA,,,
,,,16594326,WA,,,
,,,16565156,WA,,,
,,,16483266,WA,,,
,,,16483024,WA,,,
,,,16482844,WA,,,
,,,16449743,WA,,,
,,,16449661,WA,,,
,,,16445457,WA,,,
E,,,16443483,WA,,,
,,,16443464,WA,,,
,,,16443460,WA,,,
,,,16443432,WA,,,
,,,16439760,WA,,,
,,,16415898,WA,,,
,,,16412891,WA,,,
,,,16410324,WA,,,
,,,16410149,WA,,,
,,,16396445,WA,,,
,,,16396141,WA,,,
,,,16395484,WA,,,
,,,16395477,WA,,,
,,,16394972,WA,,,
,,,16394480,WA,,,
,,,16394244,WA,,,
,,,16394208,WA,,,
,,,16393646,WA,,,
,,,16393631,WA,,,
,,,16393599,WA,,,
E,,,16393513,WA,,,
,,,16393477,WA,,,
,,,16393467,WA,,,
,,,16393465,WA,,,
,,,16393429,WA,,,
,,,16393398,WA,,,
,,,16393345,WA,,,
,,,16393302,WA,,,
,,,16393274,WA,,,
,,,16393179,WA,,,
,,,16393146,WA,,,
,,,16393030,WA,,,
,,,16393027,WA,,,
,,,16392996,WA,,,
,,,16392894,WA,,,
,,,16392827,WA,,,
,,,16392721,WA,,,
,,,16392702,WA,,,
,,,16392642,WA,,,
,,,16392599,WA,,,
E,,,16392593,WA,,,
,,,16392538,WA,,,
,,,16392442,WA,,,
,,,16392382,WA,,,
,,,16392344,WA,,,
,,,16392293,WA,,,
,,,16392273,WA,,,
,,,16392249,WA,,,
,,,16392220,WA,,,
,,,16392184,WA,,,
,,,16392026,WA,,,
,,,16391969,WA,,,
,,,16391904,WA,,,
,,,16391889,WA,,,
,,,16391814,WA,,,
,,,16391775,WA,,,
,,,16391717,WA,,,
,,,16391708,WA,,,
,,,16391689,WA,,,
,,,16391656,WA,,,
E,,,16391641,WA,,,
,,,16391636,WA,,,
,,,16391629,WA,,,
,,,16391618,WA,,,
,,,16391590,WA,,,
,,,16391436,WA,,,
,,,16391325,WA,,,
,,,16391311,WA,,,
,,,16391180,WA,,,
,,,16391148,WA,,,
,,,16391126,WA,,,
,,,16391110,WA,,,
,,,16391077,WA,,,
,,,16390964,WA,,,
,,,16390860,WA,,,
,,,16390839,WA,,,
,,,16390788,WA,,,
,,,16390686,WA,,,
,,,16390431,WA,,,
,,,16390392,WA,,,
F,,,17451962,WA,,,
,,,17451844,WA,,,
,,,17451813,WA,,,
,,,17451656,WA,,,
,,,17450843,WA,,,
,,,17450784,WA,,,
,,,17449131,WA,,,
,,,17449082,WA,,,
,,,16688213,WA,,,
,,,16664566,WA,,,
,,,16596112,WA,,,
,,,16454772,WA,,,
,,,16447006,WA,,,
,,,16446958,WA,,,
,,,16446826,WA,,,
,,,16442008,WA,,,
,,,16441994,WA,,,
,,,16441981,WA,,,
,,,16439939,WA,,,
,,,16439919,WA,,,
F,,,16439794,WA,,,
,,,16439765,WA,,,
,,,16411633,WA,,,
,,,16408744,WA,,,
,,,16406448,WA,,,
,,,16399956,WA,,,
,,,16399934,WA,,,
,,,16399908,WA,,,
,,,16397100,WA,,,
,,,16397040,WA,,,
,,,16394560,WA,,,
,,,16394477,WA,,,
,,,16394341,WA,,,
,,,16394263,WA,,,
,,,16393731,WA,,,
,,,16393709,WA,,,
,,,16393658,WA,,,
,,,16393601,WA,,,
,,,16393568,WA,,,
,,,16393478,WA,,,
F,,,16393459,WA,,,
,,,16393441,WA,,,
,,,16393366,WA,,,
,,,16393277,WA,,,
,,,16393212,WA,,,
,,,16393184,WA,,,
,,,16393135,WA,,,
,,,16393062,WA,,,
,,,16393008,WA,,,
,,,16392960,WA,,,
,,,16392873,WA,,,
,,,16392542,WA,,,
,,,16392513,WA,,,
,,,16392458,WA,,,
,,,16392453,WA,,,
,,,16392348,WA,,,
,,,16392178,WA,,,
,,,16392172,WA,,,
,,,16392144,WA,,,
,,,16392119,WA,,,
F,,,16392106,WA,,,
,,,16392095,WA,,,
,,,16392033,WA,,,
,,,16392024,WA,,,
,,,16392019,WA,,,
,,,16391952,WA,,,
,,,16391930,WA,,,
,,,16391928,WA,,,
,,,16391916,WA,,,
,,,16391896,WA,,,
,,,16391867,WA,,,
,,,16391835,WA,,,
,,,16391832,WA,,,
,,,16391780,WA,,,
,,,16391745,WA,,,
,,,16391743,WA,,,
,,,16391731,WA,,,
,,,16391677,WA,,,
,,,16391503,WA,,,
,,,16390923,WA,,,
F,,,16390844,WA,,,
,,,16390834,WA,,,
,,,16390796,WA,,,
,,,16390782,WA,,,
,,,16390780,WA,,,
,,,16390772,WA,,,
,,,16390747,WA,,,
,,,16390694,WA,,,
,,,16390608,WA,,,
,,,16390566,WA,,,
,,,16390444,WA,,,
,,,16390423,WA,,,
G,,,17492389,WA,,,
,,,17487450,WA,,,
,,,17487444,WA,,,
,,,17094620,WA,,,
,,,16688699,WA,,,
,,,16542611,WA,,,
,,,16542585,WA,,,
,,,16542569,WA,,,
,,,16542512,WA,,,
,,,16542497,WA,,,
,,,16473140,WA,,,
,,,16459190,WA,,,
,,,16442271,WA,,,
,,,16442233,WA,,,
,,,16413448,WA,,,
,,,16410359,WA,,,
,,,16395417,WA,,,
,,,16395176,WA,,,
,,,16394672,WA,,,
,,,16394588,WA,,,
G,,,16394306,WA,,,
,,,16394251,WA,,,
,,,16394228,WA,,,
,,,16394195,WA,,,
,,,16393780,WA,,,
,,,16393752,WA,,,
,,,16393664,WA,,,
,,,16393638,WA,,,
,,,16393589,WA,,,
,,,16393586,WA,,,
,,,16393565,WA,,,
,,,16393518,WA,,,
,,,16393501,WA,,,
,,,16393439,WA,,,
,,,16393430,WA,,,
,,,16393421,WA,,,
,,,16393414,WA,,,
,,,16393406,WA,,,
,,,16393383,WA,,,
,,,16393336,WA,,,
G,,,16393323,WA,,,
,,,16393315,WA,,,
,,,16393309,WA,,,
,,,16393270,WA,,,
,,,16393264,WA,,,
,,,16393243,WA,,,
,,,16393235,WA,,,
,,,16393172,WA,,,
,,,16393121,WA,,,
,,,16393117,WA,,,
,,,16393082,WA,,,
,,,16393068,WA,,,
,,,16392974,WA,,,
,,,16392876,WA,,,
,,,16392856,WA,,,
,,,16392781,WA,,,
,,,16392717,WA,,,
,,,16392666,WA,,,
,,,16392300,WA,,,
,,,16392261,WA,,,
G,,,16392022,WA,,,
,,,16391967,WA,,,
,,,16391950,WA,,,
,,,16391827,WA,,,
,,,16391825,WA,,,
,,,16391788,WA,,,
,,,16391723,WA,,,
,,,16391711,WA,,,
,,,16391681,WA,,,
,,,16391654,WA,,,
,,,16391536,WA,,,
,,,16391532,WA,,,
,,,16391522,WA,,,
,,,16391402,WA,,,
,,,16390833,WA,,,
,,,16390784,WA,,,
,,,16390653,WA,,,
H,,,16441398,WA,,,
,,,16441396,WA,,,
,,,16409975,WA,,,
,,,16409852,WA,,,
,,,16409752,WA,,,
,,,16409723,WA,,,
,,,16392883,WA,,,
,,,16392831,WA,,,
,,,16391657,WA,,,
,,,16391628,WA,,,
I,,,17419564,WA,,,
,,,16501646,WA,,,
,,,16491272,WA,,,
,,,16489170,WA,,,
,,,16449262,WA,,,
,,,16448350,WA,,,
,,,16448099,WA,,,
,,,16447802,WA,,,
,,,16446725,WA,,,
,,,16443107,WA,,,
,,,16442894,WA,,,
,,,16442846,WA,,,
,,,16442828,WA,,,
,,,16441495,WA,,,
,,,16441450,WA,,,
,,,16423125,WA,,,
,,,16416054,WA,,,
,,,16401412,WA,,,
,,,16396722,WA,,,
,,,16396528,WA,,,
I,,,16396313,WA,,,
,,,16396291,WA,,,
,,,16393677,WA,,,
,,,16393635,WA,,,
,,,16393634,WA,,,
,,,16393443,WA,,,
J,,,16402302,WA,,,
,,,16393747,WA,,,
